Comment,Designator,Footprint,LCSC
4.7uF,"C1,C2",0805,C1779
0.1uF,"C3,C8,C17",0603,C1590
22uF,"C4,C5,C6,C7",0805,C45783
1.5uF,"C9,C11,C13,C15",0603,C361193
220nF,"C10,C12,C14,C16",0603,C519575
LED,"D1,D2","SMD,1.6x0.8mm",C5879214
BAT60AE6327,"D3,D4",SOD-323,C513277
LaunchPad,"J2_J4,J3_J1","SMD,P=2.54mm",C3294468
TF-Luna,"J11,J12,J13","SMD,P=1.25mm,Surface Mountï¼ŒRight Angle",C17393620
1k,R1,0603,C21190
470,R2,0603,C23179
120,R4,0603,C22787
1.6k,"R5,R7,R9,R11",0603,C22847
20k,"R6,R8,R10,R12",0603,C4184
LM2937IMP-3.3/NOPB,U2,SOT-223,C140265
TCAN1057AVDRQ1,U6,SOIC-8,C3235000
OPA4354AIDR,U7,SOIC-14,C440031
